# 1D z+ on top wall (simple), 2nd-order FD pipeline
# generated by 12.phase3_compute_zplus_spanavg_2nd.py
# source tau   : 26.Re10595_j257_toptauwall_spanavg_2nd.dat
# Re           = 10595
# z_plus(j) = Re * u_tau_local(j) * d_n(j)
TITLE     = "1D z+ on top wall (simple)"
VARIABLES = "j" "y" "z" "tau_local" "u_tau_local" "d_n" "z_plus"
ZONE T="top_zplus_1d_simple", I=257, F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE)
  65 2.124901397000000e+00 3.035713191000000e+00 2.939086865269015e-03 5.421334582249112e-02 1.319100200000012e-02 7.576784901848636e+00
  66 2.144477994000000e+00 3.035713191000000e+00 2.927520083249725e-03 5.410656229377103e-02 1.321064100000013e-02 7.573119212344785e+00
  67 2.164438138000000e+00 3.035713191000000e+00 2.916027263910737e-03 5.400025244302786e-02 1.322463300000010e-02 7.566244649341531e+00
  68 2.184916159000000e+00 3.035713191000000e+00 2.904492481353539e-03 5.389334357185068e-02 1.323256200000023e-02 7.555792573088365e+00
  69 2.206473911000000e+00 3.035713191000000e+00 2.892629673895140e-03 5.378317277639113e-02 1.323461500000001e-02 7.541516604918719e+00
  70 2.229149300000000e+00 3.035713191000000e+00 2.880283767103614e-03 5.366827523876293e-02 1.323470300000018e-02 7.525455624640749e+00
  71 2.252735937000000e+00 3.035713191000000e+00 2.867576104531453e-03 5.354975354314390e-02 1.323466299999998e-02 7.508813619182201e+00
  72 2.277160216000000e+00 3.035713191000000e+00 2.854512852873372e-03 5.342764128120735e-02 1.323467500000008e-02 7.491697677415827e+00
  73 2.302472449000000e+00 3.035713191000000e+00 2.841129895173280e-03 5.330225037625785e-02 1.323467400000000e-02 7.474114626743209e+00
  74 2.328600170000000e+00 3.035713191000000e+00 2.827470161751803e-03 5.317396131333270e-02 1.323467200000028e-02 7.456124631695608e+00
  75 2.355350443000000e+00 3.035713191000000e+00 2.813645742866026e-03 5.304380965641538e-02 1.323467300000036e-02 7.437875152677959e+00
  76 2.382702840000000e+00 3.035713191000000e+00 2.799669944451712e-03 5.291190739759542e-02 1.323467300000036e-02 7.419379638501773e+00
  77 2.410689189000000e+00 3.035713191000000e+00 2.785523973730373e-03 5.277806337608811e-02 1.323467300000036e-02 7.400611847719927e+00
  78 2.439430226000000e+00 3.035713191000000e+00 2.771177213559652e-03 5.264197197635791e-02 1.323467300000036e-02 7.381528926506254e+00
  79 2.468709999000000e+00 3.035713191000000e+00 2.756717261042230e-03 5.250444991657593e-02 1.323467300000036e-02 7.362245396193801e+00
  80 2.498521341000000e+00 3.035713191000000e+00 2.742169099318804e-03 5.236572447048550e-02 1.323467300000036e-02 7.342793125416048e+00
  81 2.528857986000000e+00 3.035713191000000e+00 2.727510362559016e-03 5.222557192179916e-02 1.323467300000036e-02 7.323140744370816e+00
  82 2.559923257000000e+00 3.035713191000000e+00 2.712689825671820e-03 5.208348899288354e-02 1.323467300000036e-02 7.303217682783679e+00
  83 2.591500174000000e+00 3.035713191000000e+00 2.697785699773816e-03 5.194021274286250e-02 1.323467300000036e-02 7.283127292087702e+00
  84 2.623569711000000e+00 3.035713191000000e+00 2.682829736610155e-03 5.179603977728563e-02 1.323467300000036e-02 7.262911162716564e+00
  85 2.656127118000000e+00 3.035713191000000e+00 2.667810471199772e-03 5.165085160188332e-02 1.323467300000036e-02 7.242552679242576e+00
  86 2.689303406000000e+00 3.035713191000000e+00 2.652691585219654e-03 5.150428705670679e-02 1.323467300000036e-02 7.222001199326385e+00
  87 2.723019329000000e+00 3.035713191000000e+00 2.637510791501276e-03 5.135670152474042e-02 1.323467300000036e-02 7.201306555253539e+00
  88 2.757203008000000e+00 3.035713191000000e+00 2.622304404720829e-03 5.120844075658650e-02 1.323467300000036e-02 7.180517228643857e+00
  89 2.791850889000000e+00 3.035713191000000e+00 2.607084197698719e-03 5.105961415540387e-02 1.323467300000036e-02 7.159648560157110e+00
  90 2.827036942000000e+00 3.035713191000000e+00 2.591818972222729e-03 5.090991035370942e-02 1.323467300000036e-02 7.138656889421223e+00
  91 2.862791516000000e+00 3.035713191000000e+00 2.576530229461211e-03 5.075953338498307e-02 1.323467300000036e-02 7.117570826288322e+00
  92 2.898992710000000e+00 3.035713191000000e+00 2.561258041452257e-03 5.060887314940194e-02 1.323467300000036e-02 7.096445043091677e+00
  93 2.935638331000000e+00 3.035713191000000e+00 2.546040313902010e-03 5.045830272514137e-02 1.323467300000036e-02 7.075331853360585e+00
  94 2.972751842000000e+00 3.035713191000000e+00 2.530838930406703e-03 5.030744408541049e-02 1.323467300000036e-02 7.054178249664147e+00
