# 1D z+ on bottom wall (n-projection), 2nd-order FD pipeline
# generated by 12.phase3_compute_zplus_spanavg_2nd.py
# source tau   : 25.Re10595_j257_bottomtauwall_spanavg_2nd.dat
# Re           = 10595
# z_plus(j) = Re * u_tau_local(j) * d_n(j)
TITLE     = "1D z+ on bottom wall (n-projection)"
VARIABLES = "j" "y" "z" "tau_local" "u_tau_local" "dy_step" "dz_step" "n_y" "n_z" "d_n_proj" "z_plus_proj"
ZONE T="bottom_zplus_1d_n-projection", I=257, F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE)
  55 1.469590710000000e+00 1.205592179000000e-01 3.652949347749206e-04 1.911269041173745e-02 6.560643000000033e-03 1.270907600000000e-02 4.619895137133839e-01 8.868853867433328e-01 1.430244205262754e-02 2.896229568351641e+00
  56 1.501285928000000e+00 1.046059707000000e-01 3.430009134927743e-04 1.852028383942250e-02 6.159275999999991e-03 1.277862680000001e-02 4.369514916323059e-01 8.994850715605585e-01 1.418548887721874e-02 2.783510775912820e+00
  57 1.533189867000000e+00 8.967217051000000e-02 3.175891889650479e-04 1.782103220818166e-02 5.753646000000057e-03 1.284373299000001e-02 4.106249879369721e-01 9.118043207189587e-01 1.407356205378627e-02 2.657283241017082e+00
  58 1.565345850000000e+00 7.576766471000000e-02 2.894796745712299e-04 1.701410222642470e-02 5.322229000000123e-03 1.290435189000000e-02 3.828607073527177e-01 9.238060828796143e-01 1.395879113123424e-02 2.516273290703456e+00
  59 1.597750051000000e+00 6.292627051000001e-02 2.591573237524747e-04 1.609836400857164e-02 4.872655000000004e-03 1.296033600999999e-02 3.536864638157940e-01 9.353640389246740e-01 1.384602435247883e-02 2.361607913335679e+00
  60 1.630379771000000e+00 5.118610347000000e-02 2.284593200962094e-04 1.511487082631570e-02 4.417887000000009e-03 1.301151914000000e-02 3.231302288141600e-01 9.463545082190440e-01 1.374106263410249e-02 2.200522027412534e+00
  61 1.663222561000000e+00 4.058059459000000e-02 1.992402594578845e-04 1.411524918157255e-02 3.961863000000010e-03 1.305775551000000e-02 2.911873166054983e-01 9.566660580621063e-01 1.364555574661907e-02 2.040707395498492e+00
  62 1.696316847000000e+00 3.112663679000000e-02 1.734130066363946e-04 1.316863723535562e-02 3.486840999999963e-03 1.309897155000000e-02 2.578904898442009e-01 9.661741536844785e-01 1.355511088495715e-02 1.891232270357977e+00
  63 1.729655127000000e+00 2.285943635000000e-02 1.514444555755100e-04 1.230627708023471e-02 3.001444999999991e-03 1.313501372000000e-02 2.232375889868194e-01 9.747640631780350e-01 1.347357468888298e-02 1.756752112138976e+00
  64 1.763227939000000e+00 1.581306565000000e-02 1.339302760921312e-04 1.157282489680593e-02 2.511154999999876e-03 1.316573349000000e-02 1.873899785388433e-01 9.822855979516405e-01 1.340307567525428e-02 1.643405790165239e+00
  65 1.797045181000000e+00 1.001704411000000e-02 1.194400114433540e-04 1.092886139738967e-02 2.012872999999971e-03 1.319100217000000e-02 1.500884845829822e-01 9.886725680403923e-01 1.334369104866828e-02 1.545083153255137e+00
